title,description,label
LSTM-Human-Activity-Recognition,Human Activity Recognition example using TensorFlow on smartphone sensors dataset and an LSTM RNN. Classifying the type of movement amongst six activity categories - Guillaume Chevalier,IoT
nodejs-basics,Node.js Basics ( v18.x ),Mobile
Torch-Pruning,"[CVPR 2023] DepGraph: Towards Any Structural Pruning; LLMs, Vision Foundation Models, etc.",AI
Linly,Chinese-LLaMA 1&2、Chinese-Falcon 基础模型；ChatFlow中文对话模型；中文OpenLLaMA模型；NLP预训练/指令微调数据集,AI
AndroidStandardDevelop,:star2: Best practices in Android develop(final).,Mobile
image-segmentation-keras,"Implementation of Segnet, FCN, UNet , PSPNet and other models in Keras.",AI
awesome-deeplearning-resources,Deep Learning and deep reinforcement learning research papers and some codes,AI
RapidRAW,"A beautiful, non-destructive, and GPU-accelerated RAW image editor built with performance in mind.",AI
awesome-deep-learning-music,List of articles related to deep learning applied to music,AI
src,Source-code used in Kiwi Browser for Android,Mobile
easy-markdown-editor,"EasyMDE: A simple, beautiful, and embeddable JavaScript Markdown editor. Delightful editing for beginners and experts alike. Features built-in autosaving and spell checking.",Mobile
nerf_pl,NeRF (Neural Radiance Fields) and NeRF in the Wild using pytorch-lightning,AI
table-transformer,Table Transformer (TATR) is a deep learning model for extracting tables from unstructured documents (PDFs and images). This is also the official repository for the PubTables-1M dataset and GriTS evaluation metric.,AI
MusePose,MusePose: a Pose-Driven Image-to-Video Framework for Virtual Human Generation,AI
setfit,Efficient few-shot learning with Sentence Transformers,AI
GLIP,Grounded Language-Image Pre-training,AI
mtcnn,"MTCNN face detection implementation for TensorFlow, as a PIP package.",AI
contrastive-unpaired-translation,"Contrastive unpaired image-to-image translation, faster and lighter training than cyclegan (ECCV 2020, in PyTorch)",AI
LISA,"Project Page for ""LISA: Reasoning Segmentation via Large Language Model""",AI
pytorch-kaldi,"pytorch-kaldi is a project for developing state-of-the-art DNN/RNN hybrid speech recognition systems. The DNN part is managed by pytorch, while feature extraction, label computation, and decoding are performed with the kaldi toolkit.",AI
pytorch-3dunet,3D U-Net model for volumetric semantic segmentation written in pytorch,AI
subword-nmt,Unsupervised Word Segmentation for Neural Machine Translation and Text Generation,AI
android-inapp-billing-v3,A lightweight implementation of Android In-app Billing Version 3,Mobile
THREE.js-PathTracing-Renderer,"Real-time PathTracing with global illumination and progressive rendering, all on top of the Three.js WebGL framework. Click here for Live Demo: https://erichlof.github.io/THREE.js-PathTracing-Renderer/Geometry_Showcase.html",Mobile
deeplearning-biology,A list of deep learning implementations in biology,AI
macos_ui,Flutter widgets and themes implementing the current macOS design language.,Mobile
CoOp,"Prompt Learning for Vision-Language Models (IJCV'22, CVPR'22)",AI
Chat-Haruhi-Suzumiya,"Chat凉宫春日, An open sourced Role-Playing chatbot Cheng Li, Ziang Leng, and others.",AI
pytorch-styleguide,An unofficial styleguide and best practices summary for PyTorch,AI
cambrian,Cambrian-1 is a family of multimodal LLMs with a vision-centric design.,AI
benchmark_VAE,Unifying Variational Autoencoder (VAE) implementations in Pytorch (NeurIPS 2022),AI
oidn,Intel® Open Image Denoise library,AI
Advanced-Deep-Learning-with-Keras,"Advanced Deep Learning with Keras, published by Packt",AI
ICEdit,[NeurIPS 2025] Image editing is worth a single LoRA! 0.1% training data for fantastic image editing! Surpasses GPT-4o in ID persistence~ MoE ckpt released! Only 4GB VRAM is enough to run!,AI
Datejs,A JavaScript Date and Time Library,Mobile
Make-It-3D,[ICCV 2023] Make-It-3D: High-Fidelity 3D Creation from A Single Image with Diffusion Prior,AI
Atlas,Atlas: End-to-End 3D Scene Reconstruction from Posed Images,AI
few-shot-vid2vid,Pytorch implementation for few-shot photorealistic video-to-video translation.,AI
votenet,Deep Hough Voting for 3D Object Detection in Point Clouds,AI
PixelVision8,Pixel Vision 8's core philosophy is to teach retro game development with streamlined workflows. PV8 is also a platform that standardizes 8-bit fantasy console limitations built on top of the open-source C# game engine based on MonoGame.,AI
PWC-Net,"PWC-Net: CNNs for Optical Flow Using Pyramid, Warping, and Cost Volume, CVPR 2018 (Oral)",AI
handtracking,Building a Real-time Hand-Detector using Neural Networks (SSD) on Tensorflow,AI
alphafold2,"To eventually become an unofficial Pytorch implementation / replication of Alphafold2, as details of the architecture get released",AI
Magic123,[ICLR24] Official PyTorch Implementation of Magic123: One Image to High-Quality 3D Object Generation Using Both 2D and 3D Diffusion Priors,AI
imitation,Clean PyTorch implementations of imitation and reward learning algorithms,AI
media-kit,A cross-platform video player & audio player for Flutter & Dart.,Mobile
VRT,VRT: A Video Restoration Transformer (official repository),AI
RandLA-Net,"🔥RandLA-Net in Tensorflow (CVPR 2020, Oral & IEEE TPAMI 2021)",AI
SAKHI-1.0---PANIC-BUTTON-ANDROID-APP-FOR-WOMEN-SAFETY,"The aim of the project is to develop an Android application that lets its users to send notifications in case of an emergency or a panic situation. The users can send multiple text messages and emails on the press of a single button. The phone numbers, email ids and the contents of the text and email messages can be set from within the application. The text messages and emails sent, along with the content, also have the last known location of the user. This is very helpful in tracking the whereabouts of the person.",Mobile
FinalYearProject,Final Year Project on Pneumonia Detection and Classification using Deep Learning for the degree of Btech Computer Science & Engineering,AI
NED-Admission-LLM-Chatbot-FYP,"This is the final year project of university, in which my group is developing a chatbot for university admissions using LLMS and RAG. The bot is powered by Langchain and FastAPI. The UI and frontend is developed in Next.js.",AI
AI-Chatbot-Final-Year-Project,"AI chatbot used to communication with End user through online on platforms such websites and application. Btech college project. Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI
Brain-Stroke-Detection,"This project involves developing a system to detect brain strokes from medical images, such as CT or MRI scans. The system uses image processing and machine learning techniques to identify and classify stroke regions within the brain, aiming to provide early diagnosis and assist medical professionals in treatment planning.",AI
wifi-controlled-multiwii,Controlling Arduino based MultiWii drone using esp8266,IoT
finpro,":books: :rocket: Finpro - An Android Based Final Project Management System || Proyek Akhir || Skripsi || Manajemen Proyek Akhir - Skripsi || Bimbingan, Monev, Sidang",Mobile
WeSee,"Final year college project, based on Digital Image Processing, Computer Vision and Deep Learning. It is aimed towards helping visually impaired people to access digital media and information of their surrounding, through text recognition and objection classification.",AI
fingerprint-attendance,Arduino & Biometric (Fingerprint) based attendance system with desktop client. (A final year CS project made at GAC-CBE),IoT
Criminal-Management-System,"Criminal Management System using HTML ,CSS ,JS ,PHP ,MySQL",Mobile
puri,Order Management System built with React and Firebase,Mobile
Skin-Disease-Detection-through-Image-Analysis,Detection of Skin Disease using CNN. Detects five types of disease.,AI
Full-Stack-Credit-Card-Fraud-Detection-Project,Full Stack Credit Card Fraud Detection Using Machine Learning with Code and Documents Plus Youtube Explanation Video,AI
Arduino-Project,"Explore Arduino Uno projects! From smart homes to robots, IoT, and wearables, this playlist guides you through diverse creations. Step-by-step videos help you innovate and learn. Start making! 🛠️🤖✨",IoT
Image-Chain-Blockchain-Project,"Final Year ImageChain Blockchain Project is application of Blockchain. Project Include Code, Documents with Video Explanation",AI
Image-Recognition-Project,Beautiful Image recognition and Classification Project for final year college students.,AI
Blind-Nav-Android-App-for-Blind-persons,"Android, Kotlin, Jetpack-Compose An innovative Android application designed to assist visually impaired individuals in navigating their surroundings and environments. Powered by advanced AI integration, this app provides real-time guidance and support, ensuring safer and more independent mobility.",Mobile
WellCare,"An online wellness portal that connects users to physiotherapists, nutritionists and gym trainers and provides one-to-one monitoring which would help in improving a person's health and enhancing the overall well-being of an individual.",IoT
Surveillance-Rover,A multipurpose Wireless Surveillance Rover an Electronics project made with arduino.,IoT
smart-home-intrusuion-system,Final year project for ECE-IoT based Smart Security Home Automation System,IoT
proxy,Proxy - A Leave Request & Teacher Arrangement System for Computer Science Engineering final year project. Simplify leave requests & manage teacher schedules. Built with React.,Mobile
HandWritting,Text to hand writting convertor using Reactjs,Mobile
phishdetector-fyp,PhishDetector - Realtime detection of phishing sites using Machine Learning | NUST Final Year Project (FYP-SEECS) 2023,AI
Real-Estate-Price-Prediction-Using-Machine-Learning-Project,Real Estate Price Prediction Using Machine Learning Project with Code and Datatsets,AI
legal-aid-chatbot,This project is an AI-powered legal chatbot developed as a final year project for a Computer Science degree.,AI
Multiple-NewsFeed-Reader,An android app for Multiple NewsFeed Reader. This was built for a friend as his final year project some years back.,Mobile
VenomX-Windows-Voice-Assistant,"VenomX is an advanced voice assistant for Windows, utilizing Python and AI for NLP, information retrieval, and YOLO-based object detection. It offers voice interaction, task scheduling, app management, and entertainment features. Designed to simplify tasks and demonstrate cutting-edge AI capabilities.",AI
e15-4yp-sports-action-recognition,"This includes a novel method to measure the quality of the actions performed in Olympic weightlifting using human action recognition in videos. Human action recognition is a well-studied problem in computer vision and on the other hand action quality assessment is researched and experimented comparatively low. This is due to the lack of datasets that can be used to assess the quality of actions. In this research, we introduce a method to assess player techniques in weightlifting by using skeleton-based human action recognition. Furthermore, we introduce a new video dataset for action recogniti",AI
HomeStay-Booking,"Homestay Reservation System Welcome to the Homestay Reservation System! This project is a web-based application designed to streamline the process of booking homestay accommodations. Developed using ReactJS, this system provides an intuitive and responsive user interface, ensuring a seamless experience for both hosts and guests.",Mobile
sign2text,Sign Language to Text Translation using Machine Learning and Open CV. Implemented using Landmark Module and Random Forest Algorithm. B.Tech final year project 2024.,AI
Edu-Vision,"EduVision is a powerful AI-based study platform built for students and academic project seekers. It digitizes handwritten notes using OCR (Azure), summarizes them with AI, and generates quiz questions to aid in exam preparation.  Ideal for final-year projects, EduVision includes a full-featured frontend (React + Tailwind), intelligent Python/Node.j",AI
cyberbully-detection-using-ML,This project contains the file of my undergraduate Final Year Project.  This project aims to expose cyberbullying in Twitter by using Machine Learning to classify whether the tweet is suspicious or not. A deployment has been created using streamlit.,AI
Breast-Cancer-Detection-Using-Machine-Learning,"Breast Cancer Detection Using Machine Learning Project Code, PPT, Synopsis, Report and Video Explanation",AI
Full-Stack-Fake-News-Detection,Full Stack Fake News Detection using machine learning with code and documents plus youtube video explanation,AI
BE-Final-Year-Project,BE IT Final Year Machine Learning Project,AI
Docs-Scanner,"Created a document scanner using Python, OpenCV. Implement edge detection, Contour detection, perspective transform and thresholding.",AI
liuyap-ZERO-App,"ZERO App is a mobile application aimed at reducing food waste, built using Flutter and Firebase. The app allows users to donate surplus food, find local food banks, and track their contributions. It features a user-friendly interface, real-time data updates, and secure authentication.",Mobile
Ransomware-Detection-System-using-Machine-Learning,B.tech Ransomware Detection System Based on Machine Learning Project,AI
NovelCorona-Pneumonia-Prediction_V2,"Predicting Noval Corona, Pneumonia, Healthy from X-ray scans using Deep Learning. Trained dataset on Resnet50, VGG16, and a Custom model.",AI
Reel-Rec,Reel Rec - A Movie Recommendation AI designed to change the way movie enthusiasts discover and enjoy  favorite films. Made using Django & Tailwind CSS.,Mobile
vision-based-adas,"This is my bachelor's thesis, which contains three main features: lane detection, road segmentation, and a Forward Collision Warning (FCW) system",AI
forum-backend,An open-source online forum for Bahir Dar University built using Django Rest Framework Under Google Developers Student Club (GDSC) Bahir Dar.,Mobile
Turf-Booking-Project,A website to take and manage bookings on a turf using python django.,Mobile
AI-Career-Forge,"🚀 Built AI Career Forge – a full-stack AI-powered platform that helps users build, analyze, and match resumes with job descriptions. Used React, Express, Firebase, and Google Generative AI to make resume building smarter and faster.",Mobile
Sign-Talk---Bridge-the-Gap-of-Communication,"SignTalk is an android based application in which Hearing, or speech impaired persons can easily communicate with normal persons and vice versa without any central human interpreter.",Mobile
radiology-assistant,Hand gesture tool for radiology image transformation - Final year project,AI
Images-or-Scanned-Documents-into-Searchable-PDFs,"This is a Flask Based Project to convert Images, Scanned Documents or Multiple Page PDF into Searchable PDF",AI
Book-To-Comics,"This is a Book-To-Comic API , using GPT and stable diffusion model to generate a image and text",AI
Crime-Prediction-Using-Machine-Learning-Project,Crime Prediction System Using Machine Learning Project with source code and documents plus youtube explanation,AI
Final_year_project,Final year software project coordination tool powered by Python Django,Mobile
holmes,Holmes: Image forgery detection tool with streamlit + electron,AI
AgroVoiceAI,"AgroVoiceAI is an advanced agricultural assistant powered by cutting-edge AI technology. It provides guidance and information on various aspects of farming to optimize practices and achieve better results. It has features like personalised chatbot, realtime soil testing, weather info, daily market info, soil based crop recommendation",AI
Potato-Disease-Prediction-Project,"Potato Disease Detection Project using Machine learning with Code, Documents and video Explanation",AI
Fake-Review-Detection-Using-Machine-Learning,Fake Review Detection System Using Machine Learning with source code and documents. It is full stack web application project with code and documents.,AI
Personal-management-system-Personal-wellbeing-,"The personal maintenance system I have developed is focused on daily upkeep tasks, including adding required documents, pictures, notes, work time, and gym activities. It has been built using MySQL for the database management and HTML and CSS for the front-end interface.",Mobile
LockDawn,LockDawn: An Android-Based 3D Adventure Game In Understanding The Importance Of Safety Protocols For The COVID-19 Pandemic,Mobile
BlindsEye_IoT,Blind’s Eye : IoT based real-time surrounding identification and object detection,AI
StockMarketPrediction,Stock Market Prediction using Machine Learning done as a final year university project. It uses LSSVR to train the model and is programmed in R,AI
Fall-Detection-for-Elderly-People-Using-IOT,"A model which is used to solve the risk of elderly people from falling.Using Raspberry pi, the datas are captured and computed.The values are measured by accelerometer sensor. This system measures the fall of a person and sends message or call to the respective caretaker,once the fall of the elderly person is detected.",IoT
EasyGo-Admin,This is an android application designed for admin to manage all details of EasyGo app.,Mobile
AI_Resume_Analyzer,"The AI Resume Analyzer is a Streamlit-based application that provides detailed resume analysis, skill recommendations, job search tools, and career insights. Utilizing NLP and machine learning, it helps users identify strengths and improvement areas, suggest relevant courses, and find job opportunities tailored to their profiles.",AI
pestdetection,"it is a 🌿 real-time pest detection system for urban gardens. It uses the lightweight 🤖 YOLOv8 Nano model to identify pests like 🐜 aphids and 🦟 fruit flies, optimized for edge devices like the 🍃 Raspberry Pi 4.",AI
Car-Price-Prediction-Project,Car Price Prediction Project through Machine Learning Algorithm with Video Implementation,AI
Smart_wireless_water_meter_with_Web_DB,"💧 An IoT-based Smart Water Meter system for real-time monitoring of water quality (pH, TDS) and flow rate using ESP32 and Arduino UNO. It includes automatic motor control, cloud logging via ThingSpeak, and a web dashboard for remote access.",IoT
A-Novel-Approach-for-Hand-Gesture-Recognition-Volume-Control,This project presented a program that allowed user to perform hand gestures for easy Volume control. It is a vision-based hand Gesture system that does not require any special markers or gloves and can operate in real-time on a commodity PC/ laptop with low-cost cameras.​,AI
ActivityMoodTracker,Final year project application developed using react native,Mobile
trash-to-treasure-mobile-client-app,"Part of my Final Year Project (FYP), this mobile app rewards users for recycling by scanning QR codes, tracking recycling history, and redeeming points at partnered stores. Integrated with an AI-based Trash Classification Module, it promotes sustainability through gamification and real-time tracking.",Mobile
Computer-Automation,Computer Automation using OpenCv and MediaPipe - Virtually controlling computer using hand-gestures and voice commands.,AI
My-Netflix-Application,"This project is a movie real-world web application that involves five main parts: Frontend using React, Backend using Node & Java to provide REST APIs management and finally two Databases modeling using MongoDB and PostgreSQL.",Mobile
Questioner,An Offline Android Quiz Project,Mobile
LockDawn-Completed-Script,LockDawn: An Android-Based 3D Adventure Game In Understanding The Importance Of Safety Protocols For The COVID-19 Pandemic,Mobile
video-steganography,This is a final year project created by CSIT students for 7th semester. It is a simple website that can hide text inside videos or images.,AI
Cyber-Threat-Detection-Using-Machine-Learning,"Cyber threat detection using machine learning is a proactive approach to cybersecurity that involves training machine learning algorithms. Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI
multiple-event-listener-javascript,An Event listener for multiple javascript elements,Mobile
Movie-recommender-bot,"MovieBot. A Movie Recommendation Bot built with Flask, HTML CSS, and Cosine Similarity ML Model!",Mobile
Third-Year-MERN-Project,"This project is a comprehensive solution for managing a final year collage project using modern web technologies. It utilizes the MERN stack (MongoDB, Express.js, React.js, Node.js) for backend and frontend development, Redux for state management, Firebase for google authentication and real-time database features, and Tailwind CSS for styling. :)",Mobile
ChromaticScan,A ResNet 34-based Algorithm for Robust Plant Disease Detection with 99.2% Accuracy Across 39 Different Classes of Plant Leaf Images.,AI
NetScan,:mag_right: :iphone: [FYP][GrAL][TFG] An Android app thas scan domains and networks,Mobile
Stock-Prediction-React-Project,"The Stock Prediction React Project is a web-based application that utilizes machine learning algorithms and financial data to predict stock prices.  Stock Prediction Project Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",Mobile
holmes2,home for digital image analysis tools/ personal streamlit experiment,AI
Genetic-Algorithms-for-Swarm-Parameter-Tuning-Unity,"Swarming behaviour is based on aggregation of simple drones exhibiting basic instinctive reactions to stimuli. However, to achieve overall balanced/interesting behaviour the relative importance of these instincts, as well their internal parameters, must be tuned. In this project, you will learn how to apply Genetic Programming as means of such tuning, and attempt to achieve a series of non-trivial swarm-level behaviours.",Mobile
KIET--final-year-project-Steganography,"Steganography is the practice of concealing a message within another medium, such as an image, audio, or video file, without attracting attention",AI
flex-lingo,"FlexLingo is a final year IoT project that serves as a flex sensor-based sign language translator. It uses Random Forest and BiLSTM models to interpret real-time hand gestures, translating them into spoken words or text via an Arduino smart glove and a React web interface.",IoT
ArduRMMMQ,Ardu[R]eal-Time Operating System [MM] Magic Mirror [MQ] MQ Gas Sensor - RTOS Project,IoT
haulXpress,Final year project of a mobile app for requesting rides for long and heavy duty,Mobile
Decentralized-voting-system-using-blockchain,"Decentralized voting system developed using Flask, PHP, and JavaScript, featuring a face recognition authentication mechanism. It includes three dashboards: Admin, Miner, and User. Vote transactions are distributed across multiple systems within the network.",Mobile
MindEase,MindEase is a mental health assistant that combines IoT hardware with AI to provide emotional support. It uses an ESP32 for audio input/output and integrates with AI models and cloud services for natural language understanding and response generation.,IoT
AnePhysioBE,REST API backend of the final year project application for physiotherapist written in Spring Boot using Java,IoT
Cyber-Security-Final-Year-Projects-Github,"Cyber threat detection using machine learning is a proactive approach to cybersecurity that involves training machine learning algorithms. Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI
Heart-Disease-Prediction-Using-Machine-Learning,The project involves training a machine learning model (Logistic Regression) to predict whether someone is suffering from a heart disease or not with 87% accuracy.,AI
Brain-Tumor-prediction-classification-project,"This project implements a deep learning model using Convolutional Neural Networks (CNNs) for the classification of brain tumors in MRI scans. The model is trained on a large dataset of MRI images, which includes 4 types of tumors. {meningioma_tumor , glioma_tumor , pituitary_tumor , no_tumor}",AI
Imagify,"Imagify is an AI-powered image generation SaaS web application built with the MERN stack. It leverages the Clipdrop API to create high-quality, AI-generated images. The app features a secure login/signup system, a user-friendly interface, and seamless integration between the client and server for an enhanced user experience.",AI
SisonkeBankingApp,"A java mobile application prototype for Sisonke Bank. The main objectives of the application is to allow clients to create an account, login, view account balances and transfer between accounts.",Mobile
repota,"A CRUD web app for automobile technicians to manage service reports, developed for my BSc dissertation.",Mobile
Blog-Portal-Backend,"Full Stack Blog Portal Application (Spring Boot, ReactJS, MongoDB, Docker, Kubernetes, Terraform)",Mobile
FYP_Malaysia-CPI-Forecasting,This Final Year Project compares the performance of four machine and deep learning models in predicting Malaysia's CPI using various input structures.,AI
Co2-Emission-Prediction-Using-Machine-learning,"The CO2 Emission Prediction project aims to develop a machine learning model that can accurately predict CO2 emissions. Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI
Smart-Route-Monitoring-App,"Smart Route Monitoring is a safety-focused React Native app that simulates route travel using checkpoints and triggers SOS alerts if the user misses a checkpoint. Features include Google Maps integration, dual navigation modes, and native SMS support for emergency response.",Mobile
FCP-CSC-18-1080,"Welcome to the Federal University Dutse (FUD) Mentor-Mentee App! This Flutter and Dart-powered application, with Sqflite and Firebase integration, is designed to connect students and staffs for seamless mentorship experiences.",Mobile
MangotypeDetection,I make Project on Machine Learning and Artificial Intelligence using python. This project use for Mango Type Detection with leaf...I train a model with my own dataset...,AI
locknroll,A mobile app to control a custom-built smart door lock using Firebase.,Mobile
VU-FYP-survey_builder,"Survey Builder, Final year project, Virtual University of Pakistan - PHP/HTML/Javascript/jQuery/AJAX/XAMP/MySQL",Mobile
Students-Marks-Prediction-Project,Prediction of marks of students using Machine Learning algorithms.,AI
lotus_femalehealthchatbot,Lotus - Female Health Chatbot,AI
Stock-price-prediction-using-Deep-learning-project,"This project aims to develop a deep learning-based model for predicting stock prices. Stock Price Predicton Using Deep Learning Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI
Blog-Portal-Frontend,"Full Stack Blog Portal Application (Spring Boot, ReactJS, MongoDB, Docker, Kubernetes, Terraform)",Mobile
mohit-youtube,"🎬 Build your own YouTube! A modern YouTube clone with React, TypeScript & Material-UI, featuring seamless playback, infinite scroll, dark mode & more – fast, responsive, and feature-packed! 🚀🎥",Mobile
Android-Malware-Detection-Project,"The Android Malware Detection Project aims to design and develop a system that can detect and identify malicious software (malware) on Android devices. Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",Mobile
pcos-app-aly,"Final Year Project — PCOS & Insulin Resistance wellness app (React Native + Expo + Firebase). Track cycles, meals & symptoms, get insights, gentle nudges, and pro content.",Mobile
mob_monitoring_api,This repository contains the code for the API backend of the Mob Monitoring System built using C# .NET Framework. The API backend provides a scalable and efficient way to manage and store data for the mobile app. The backend includes features like CRUD operations for managing mobbed events.,Mobile
RogiDoot-VirtualCare,"RogiDoot-VirtualCare is an advanced open-source project integrating a mobile app and IoT-enabled diagnostic hardware to provide comprehensive and accessible healthcare solutions, especially in rural areas. This project harnesses custom AI technology to deliver accurate diagnoses, tailored treatment suggestions, and valuable health references.",IoT
7th_sem_project_machine_learning,machine learning project using logistic regresion and random forest with hyper tuned,AI
Triple-DES-project-Image-security-by-Triple-DES,"This project aims to provide a secure way to transmit and store images using the Triple Data Encryption Standard (Triple DES) algorithm Project Includes Source Code, PPT, Synopsis, Report, Documents, Base Research Paper & Video tutorials",AI
Non-Invasive-Blood-Group-Prediction-Using-Fingerprint-Analysis,"End-to-end system for non-invasive blood group prediction using fingerprint images, built with Python, TensorFlow, and Flask.",AI
Neuro_Gambling_Scanner,"""Flutter app that predicts gambling addiction risk and provides real-time interventions using AI.""",Mobile
